text	normalized	x1	y1	x2	y2
ERRINGTON 8b PLANTING CALENDAR	ERRINGTON8BPLANTINGCALENDAR	234	31	1310	74
FirstExpected FrostDate	FIRSTEXPECTEDFROSTDATE	842	121	1153	148
LastExpectedFrostDate	LASTEXPECTEDFROSTDATE	200	122	498	147
OCTOER15	OCTOER15	1216	122	1368	146
APRIL15	APRIL15	547	124	665	148
DirectSow/Harvest	DIRECTSOWHARVEST	1040	182	1293	208
Velow-TransplantOutdoors	VELOWTRANSPLANTOUTDOORS	580	183	930	209
Red-StartSeedsIndoors	REDSTARTSEEDSINDOORS	187	185	483	208
MAR	MAR	502	246	570	277
JAN	JAN	302	248	362	277
FEB	FEB	402	248	460	277
APR	APR	601	248	663	277
MAY	MAY	697	248	761	277
JUN	JUN	787	248	848	276
OCT	OCT	1136	248	1200	276
JUL	JUL	881	249	936	275
NOTES	NOTES	1390	249	1484	277
EDIBLE'CROPS	EDIBLECROPS	68	250	234	270
AUG	AUG	965	250	1027	275
SEP	SEP	1052	250	1108	275
DEC	DEC	1293	250	1354	275
NOV	NOV	1216	251	1277	276
90DAYS	90DAYS	1291	290	1358	310
ARUGULA	ARUGULA	70	291	155	311
70DAYS	70DAYS	1290	313	1359	336
ASPARAGUS	ASPARAGUS	70	316	167	336
30DAYS	30DAYS	1291	339	1358	359
BEANS	BEANS	70	340	131	360
Vererfoof	VERERFOOF	1397	357	1482	379
BEETS	BEETS	70	363	129	384
55DAYS	55DAYS	1291	363	1359	384
Honages	HONAGES	1403	374	1474	394
BELLPEPPER	BELLPEPPER	70	386	186	408
90DAYS	90DAYS	1290	386	1359	409
70DAYS	70DAYS	1292	411	1359	432
BROCCOLI	BROCCOLI	70	412	157	432
GODAYS	GODAYS	1292	435	1359	456
BRUSSELSPROUT	BRUSSELSPROUT	70	439	220	456
SSDAYS	SSDAYS	1292	459	1359	479
CABBAGE	CABBAGE	70	461	156	481
8Months	8MONTHS	1397	483	1473	505
50 DAYS	50DAYS	1292	484	1358	504
CANTALOUPE	CANTALOUPE	71	486	184	503
58DAYS	58DAYS	1292	508	1359	529
CARROTS	CARROTS	70	509	153	529
BODAYS	BODAYS	1290	531	1359	554
CARROTS	CARROTS	70	533	152	553
116DAYS	116DAYS	1289	555	1358	575
CAULIFLOWER	CAULIFLOWER	70	558	198	578
9Months	9MONTHS	1399	574	1472	591
BO DAYS	BODAYS	1291	580	1359	600
CELERY	CELERY	70	581	136	601
90DAYS	90DAYS	1291	604	1359	624
CORN	CORN	71	607	122	625
DODAYS	DODAYS	1290	628	1358	648
CUCKUMBER	CUCKUMBER	70	630	176	650
110DAYS	110DAYS	1290	651	1359	672
GARLIC	GARLIC	70	653	132	673
KOHLRABI	KOHLRABI	70	676	157	696
BODAYS	BODAYS	1291	676	1359	696
135DAYS	135DAYS	1289	699	1358	719
LELKS	LELKS	70	701	126	722
65DAYS	65DAYS	1290	723	1359	744
LETTUCE	LETTUCE	70	725	149	745
60DAYS	60DAYS	1291	747	1359	768
EGGPLANT	EGGPLANT	69	748	153	768
BGDAYS	BGDAYS	1291	771	1359	792
MELONS	MELONS	70	773	146	793
1MK.Gelion	1MKGELION	1395	792	1482	809
S6DAYS	S6DAYS	1291	795	1358	816
OKRA	OKRA	70	797	122	818
DODAYS	DODAYS	1290	820	1358	840
PARSNIPS	PARSNIPS	70	821	154	841
80DAYS	80DAYS	1291	844	1359	865
PEAS	PEAS	70	845	118	866
POTATOES	POTATOES	69	867	160	889
75DAYS	75DAYS	1291	867	1359	888
95DAYS	95DAYS	1291	891	1359	912
SPINACH	SPINACH	70	893	145	913
86DAYS	86DAYS	1291	915	1359	936
SWEETBOTASH	SWEETBOTASH	69	916	190	938
90DAYS	90DAYS	1291	939	1359	960
SOGMMERSOUATH	SOGMMERSOUATH	72	943	231	960
90DAYS	90DAYS	1291	963	1358	984
SWISS CHARD	SWISSCHARD	72	967	191	984
BODAYS	BODAYS	1290	988	1358	1009
TOMATOES	TOMATOES	72	991	161	1008
