row_text,row_normalized,y1,y2,month,x1,x2,red_count,yellow_count,green_count,blue_count,gray_count
ARUGULA,ARUGULA,287,314,JAN,282,381,0,0,0,0,333
ARUGULA,ARUGULA,287,314,FEB,381,483,161,0,0,0,201
ARUGULA,ARUGULA,287,314,MAR,483,584,17,214,104,0,8
ARUGULA,ARUGULA,287,314,APR,584,680,0,0,153,0,0
ARUGULA,ARUGULA,287,314,MAY,680,773,0,0,30,0,147
ARUGULA,ARUGULA,287,314,JUN,773,862,0,0,1,0,199
ARUGULA,ARUGULA,287,314,JUL,862,952,0,0,1,0,190
ARUGULA,ARUGULA,287,314,AUG,952,1038,0,0,182,0,0
ARUGULA,ARUGULA,287,314,SEP,1038,1124,0,0,114,0,0
ARUGULA,ARUGULA,287,314,OCT,1124,1207,0,0,120,0,0
ARUGULA,ARUGULA,287,314,NOV,1207,1284,0,0,0,0,268
ARUGULA,ARUGULA,287,314,DEC,1284,1374,0,0,0,0,616
ASPARAGUS,ASPARAGUS,312,338,JAN,282,381,0,0,0,0,342
ASPARAGUS,ASPARAGUS,312,338,FEB,381,483,1822,0,0,0,209
ASPARAGUS,ASPARAGUS,312,338,MAR,483,584,189,1128,13,0,40
ASPARAGUS,ASPARAGUS,312,338,APR,584,680,0,0,74,0,0
ASPARAGUS,ASPARAGUS,312,338,MAY,680,773,0,0,96,0,0
ASPARAGUS,ASPARAGUS,312,338,JUN,773,862,0,0,136,0,0
ASPARAGUS,ASPARAGUS,312,338,JUL,862,952,0,0,130,0,0
ASPARAGUS,ASPARAGUS,312,338,AUG,952,1038,0,0,106,0,0
ASPARAGUS,ASPARAGUS,312,338,SEP,1038,1124,0,0,86,0,0
ASPARAGUS,ASPARAGUS,312,338,OCT,1124,1207,0,0,109,0,0
ASPARAGUS,ASPARAGUS,312,338,NOV,1207,1284,0,0,0,0,173
ASPARAGUS,ASPARAGUS,312,338,DEC,1284,1374,0,0,0,0,493
BEANS,BEANS,336,361,JAN,282,381,50,0,0,0,278
BEANS,BEANS,336,361,FEB,381,483,98,0,0,0,263
BEANS,BEANS,336,361,MAR,483,584,3,42,58,0,46
BEANS,BEANS,336,361,APR,584,680,0,0,121,0,0
BEANS,BEANS,336,361,MAY,680,773,0,0,83,0,29
BEANS,BEANS,336,361,JUN,773,862,0,0,22,0,89
BEANS,BEANS,336,361,JUL,862,952,0,0,42,0,52
BEANS,BEANS,336,361,AUG,952,1038,0,0,93,0,16
BEANS,BEANS,336,361,SEP,1038,1124,0,0,131,0,0
BEANS,BEANS,336,361,OCT,1124,1207,0,0,128,0,0
BEANS,BEANS,336,361,NOV,1207,1284,0,0,1,0,168
BEANS,BEANS,336,361,DEC,1284,1374,0,0,0,0,523
BEETS,BEETS,359,384,JAN,282,381,1499,0,0,0,143
BEETS,BEETS,359,384,FEB,381,483,2444,0,0,0,55
BEETS,BEETS,359,384,MAR,483,584,95,1027,70,0,7
BEETS,BEETS,359,384,APR,584,680,0,0,132,0,0
BEETS,BEETS,359,384,MAY,680,773,0,0,67,0,123
BEETS,BEETS,359,384,JUN,773,862,0,0,0,0,222
BEETS,BEETS,359,384,JUL,862,952,0,0,0,0,186
BEETS,BEETS,359,384,AUG,952,1038,0,0,150,0,43
BEETS,BEETS,359,384,SEP,1038,1124,0,0,107,0,0
BEETS,BEETS,359,384,OCT,1124,1207,0,0,157,0,0
BEETS,BEETS,359,384,NOV,1207,1284,0,0,1,0,242
BEETS,BEETS,359,384,DEC,1284,1374,0,0,0,0,562
BELLPEPPER,BELLPEPPER,382,410,JAN,282,381,140,0,0,0,306
BELLPEPPER,BELLPEPPER,382,410,FEB,381,483,1570,0,0,0,148
BELLPEPPER,BELLPEPPER,382,410,MAR,483,584,1505,1127,0,0,3
BELLPEPPER,BELLPEPPER,382,410,APR,584,680,0,399,173,0,0
BELLPEPPER,BELLPEPPER,382,410,MAY,680,773,0,0,136,0,34
BELLPEPPER,BELLPEPPER,382,410,JUN,773,862,43,0,64,0,136
BELLPEPPER,BELLPEPPER,382,410,JUL,862,952,45,75,66,0,138
BELLPEPPER,BELLPEPPER,382,410,AUG,952,1038,0,0,225,0,27
BELLPEPPER,BELLPEPPER,382,410,SEP,1038,1124,0,0,126,0,0
BELLPEPPER,BELLPEPPER,382,410,OCT,1124,1207,0,0,227,0,0
BELLPEPPER,BELLPEPPER,382,410,NOV,1207,1284,0,0,1,0,319
BELLPEPPER,BELLPEPPER,382,410,DEC,1284,1374,0,0,0,0,618
BROCCOLI,BROCCOLI,408,437,JAN,282,381,119,0,0,0,369
BROCCOLI,BROCCOLI,408,437,FEB,381,483,1468,0,0,0,147
BROCCOLI,BROCCOLI,408,437,MAR,483,584,1147,803,79,0,0
BROCCOLI,BROCCOLI,408,437,APR,584,680,0,16,184,0,0
BROCCOLI,BROCCOLI,408,437,MAY,680,773,0,0,142,0,0
BROCCOLI,BROCCOLI,408,437,JUN,773,862,1054,0,105,0,84
BROCCOLI,BROCCOLI,408,437,JUL,862,952,1064,946,56,0,52
BROCCOLI,BROCCOLI,408,437,AUG,952,1038,0,0,225,0,0
BROCCOLI,BROCCOLI,408,437,SEP,1038,1124,0,0,171,0,0
BROCCOLI,BROCCOLI,408,437,OCT,1124,1207,0,0,190,0,0
