text	normalized	x1	y1	x2	y2
ERRINGTON 8b FLOWER&ORNAMENTALCALENDAR	ERRINGTON8BFLOWERORNAMENTALCALENDAR	179	30	1295	74
APRIL15	APRIL15	532	110	644	137
FirstExpectedFrostDate	FIRSTEXPECTEDFROSTDATE	782	110	1063	136
OCTOBER15	OCTOBER15	1095	111	1248	135
LastExpectedFrostDate	LASTEXPECTEDFROSTDATE	212	112	487	135
Red-StartSeedsIndoors	REDSTARTSEEDSINDOORS	209	161	474	184
Yellow-TransplantOutdoors	YELLOWTRANSPLANTOUTDOORS	551	161	829	187
Bloom	BLOOM	1088	161	1155	186
Gry/Dormant/Divide	GRYDORMANTDIVIDE	1225	161	1439	187
DirectSow	DIRECTSOW	908	162	1026	185
FLOWERS&ORNAMENTALS	FLOWERSORNAMENTALS	57	237	362	260
JAN	JAN	393	239	447	265
FEB	FEB	472	239	522	265
JUN	JUN	783	239	838	265
JUL	JUL	863	239	913	265
AUG	AUG	938	239	993	265
SEP	SEP	1019	239	1068	265
OCT	OCT	1095	239	1149	265
NOTES	NOTES	1262	239	1348	266
MAR	MAR	547	240	605	265
APR	APR	628	240	683	265
MAY	MAY	705	240	760	265
NOV	NOV	1172	240	1227	266
BLODWDAYS·	BLODWDAYS	1246	279	1359	302
ANNUALS	ANNUALS	56	281	158	305
60-90DAYS	6090DAYS	1253	308	1354	331
MARIGOLD	MARIGOLD	54	309	153	332
60-80DAYS	6080DAYS	1251	334	1349	354
ZINNIA	ZINNIA	55	336	121	357
50-80DAYS	5080DAYS	1251	358	1349	378
COSMOS	COSMOS	55	359	135	380
NASTURTIUM	NASTURTIUM	54	381	167	406
8-10WEAKS	810WEAKS	1251	383	1349	403
SUNFLOWER	SUNFLOWER	55	407	169	427
70-100DAYS·	70100DAYS	1247	407	1357	427
55-75DAYS·	5575DAYS	1247	430	1360	453
SWEETPEA	SWEETPEA	55	431	160	451
DeadheadOften	DEADHEADOFTEN	1365	432	1502	452
CALENDULA	CALENDULA	56	454	165	474
8-10WEEKS	810WEEKS	1252	456	1352	476
PERENNIALS	PERENNIALS	54	480	186	506
55-10SVEEKS	5510SVEEKS	1247	483	1353	503
DAHLIA	DAHLIA	55	510	124	531
EATEVSRIINS	EATEVSRIINS	1247	510	1351	530
60-90DAYS	6090DAYS	1251	531	1347	554
PEONY	PEONY	55	532	119	553
EarlySummer	EARLYSUMMER	1371	532	1484	555
EarlySummer	EARLYSUMMER	1371	553	1486	578
60-90DAYS	6090DAYS	1251	555	1348	578
IRIS	IRIS	54	557	94	579
DAYLILY	DAYLILY	55	581	130	602
LATIVSRING	LATIVSRING	1249	581	1351	604
LAVENDER	LAVENDER	55	605	148	626
$0-70DAYS	070DAYS	1252	606	1346	626
SpingBloom	SPINGBLOOM	1371	628	1470	651
ECHINACEA	ECHINACEA	56	629	157	649
10-100DAYS·	10100DAYS	1246	629	1357	649
S0-180DAYS	S0180DAYS	1247	652	1354	675
RUDBECKIA	RUDBECKIA	55	653	160	673
DivideinFall	DIVIDEINFALL	1373	653	1481	673
BULBS	BULBS	55	680	127	705
LATEVSPING	LATEVSPING	1249	683	1349	703
TULIP	TULIP	54	708	107	730
70-90DAYS	7090DAYS	1251	708	1348	728
Summer	SUMMER	1370	708	1442	730
Slmam	SLMAM	1370	731	1430	755
DAFFODIL	DAFFODIL	56	732	143	753
50-90DAYS	5090DAYS	1252	733	1349	753
SummerBloom	SUMMERBLOOM	1371	755	1488	775
Z1-100DAYS	Z1100DAYS	1251	756	1349	776
CROCUS	CROCUS	56	757	131	778
90-00DAYS	9000DAYS	1251	779	1348	799
ALLIUM	ALLIUM	56	780	124	801
SpringBlees	SPRINGBLEES	1371	801	1471	824
HYACINTH	HYACINTH	55	804	147	824
10-100DAYS	10100DAYS	1247	804	1350	824
40-60DAYS	4060DAYS	1249	830	1349	855
ORNAMENTALS	ORNAMENTALS	55	831	215	857
HOSTAS	HOSTAS	54	859	127	882
80-90DAYS	8090DAYS	1250	859	1349	879
SpringBloom	SPRINGBLOOM	1371	882	1479	905
80-90DAYS	8090DAYS	1250	883	1349	903
FERNS	FERNS	55	884	116	904
ORNAMENTALGRASSES	ORNAMENTALGRASSES	56	907	260	927
60-90DAYS	6090DAYS	1249	907	1354	927
DivideinFall	DIVIDEINFALL	1374	907	1482	927
SEDUM	SEDUM	56	931	121	951
60-90DAYS	6090DAYS	1249	931	1348	951
SpringBle2a	SPRINGBLE2A	1371	952	1469	975
60-80DAYS	6080DAYS	1250	953	1349	973
HEUCHERA	HEUCHERA	55	954	151	974
DivideEvery3Years	DIVIDEEVERY3YEARS	1368	976	1517	999
ASTILBE	ASTILBE	55	978	132	999
50-80DAYS	5080DAYS	1249	978	1356	998
