row_text,row_normalized,y1,y2,month,x1,x2,red_count,yellow_count,green_count,blue_count,gray_count
MARIGOLD,MARIGOLD,305,334,JAN,373,458,1235,0,0,0,131
MARIGOLD,MARIGOLD,305,334,FEB,458,536,2139,41,0,0,0
MARIGOLD,MARIGOLD,305,334,MAR,536,615,0,1472,721,0,0
MARIGOLD,MARIGOLD,305,334,APR,615,693,0,0,1948,0,1
MARIGOLD,MARIGOLD,305,334,MAY,693,771,0,0,1966,0,60
MARIGOLD,MARIGOLD,305,334,JUN,771,849,0,0,1941,0,79
MARIGOLD,MARIGOLD,305,334,JUL,849,926,0,0,0,0,126
MARIGOLD,MARIGOLD,305,334,AUG,926,1004,0,0,32,177,153
MARIGOLD,MARIGOLD,305,334,SEP,1004,1082,0,0,120,2,279
MARIGOLD,MARIGOLD,305,334,OCT,1082,1160,0,0,0,0,183
MARIGOLD,MARIGOLD,305,334,NOV,1160,1237,0,0,0,0,184
MARIGOLD,MARIGOLD,305,334,DEC,1237,1322,0,7,0,0,182
ZINNIA,ZINNIA,332,357,JAN,373,458,267,0,0,0,71
ZINNIA,ZINNIA,332,357,FEB,458,536,1481,416,0,0,0
ZINNIA,ZINNIA,332,357,MAR,536,615,3,529,1322,0,0
ZINNIA,ZINNIA,332,357,APR,615,693,0,0,897,0,2
ZINNIA,ZINNIA,332,357,MAY,693,771,0,0,72,0,71
ZINNIA,ZINNIA,332,357,JUN,771,849,0,0,0,0,71
ZINNIA,ZINNIA,332,357,JUL,849,926,0,0,0,0,93
ZINNIA,ZINNIA,332,357,AUG,926,1004,0,0,148,1690,22
ZINNIA,ZINNIA,332,357,SEP,1004,1082,0,0,250,2,119
ZINNIA,ZINNIA,332,357,OCT,1082,1160,0,0,0,0,195
ZINNIA,ZINNIA,332,357,NOV,1160,1237,0,0,0,0,179
ZINNIA,ZINNIA,332,357,DEC,1237,1322,0,8,0,0,183
COSMOS,COSMOS,355,379,JAN,373,458,1560,0,0,0,93
COSMOS,COSMOS,355,379,FEB,458,536,1856,0,0,0,0
COSMOS,COSMOS,355,379,MAR,536,615,113,1144,575,0,0
COSMOS,COSMOS,355,379,APR,615,693,0,0,1821,0,0
COSMOS,COSMOS,355,379,MAY,693,771,0,0,1216,0,67
COSMOS,COSMOS,355,379,JUN,771,849,0,0,34,0,172
COSMOS,COSMOS,355,379,JUL,849,926,0,0,0,0,46
COSMOS,COSMOS,355,379,AUG,926,1004,0,0,78,0,52
COSMOS,COSMOS,355,379,SEP,1004,1082,0,0,61,0,228
COSMOS,COSMOS,355,379,OCT,1082,1160,0,0,0,0,170
COSMOS,COSMOS,355,379,NOV,1160,1237,0,0,0,0,160
COSMOS,COSMOS,355,379,DEC,1237,1322,0,12,0,0,207
NASTURTIUM,NASTURTIUM,377,405,JAN,373,458,769,0,0,0,838
NASTURTIUM,NASTURTIUM,377,405,FEB,458,536,2173,5,0,0,0
NASTURTIUM,NASTURTIUM,377,405,MAR,536,615,1231,869,85,0,0
NASTURTIUM,NASTURTIUM,377,405,APR,615,693,0,1209,894,0,0
NASTURTIUM,NASTURTIUM,377,405,MAY,693,771,47,23,1967,0,6
NASTURTIUM,NASTURTIUM,377,405,JUN,771,849,1902,54,0,0,89
NASTURTIUM,NASTURTIUM,377,405,JUL,849,926,22,77,799,1033,6
NASTURTIUM,NASTURTIUM,377,405,AUG,926,1004,0,0,225,1677,4
NASTURTIUM,NASTURTIUM,377,405,SEP,1004,1082,0,0,0,0,138
NASTURTIUM,NASTURTIUM,377,405,OCT,1082,1160,0,0,0,0,117
NASTURTIUM,NASTURTIUM,377,405,NOV,1160,1237,0,0,1,0,127
NASTURTIUM,NASTURTIUM,377,405,DEC,1237,1322,0,10,0,0,205
SUNFLOWER,SUNFLOWER,403,429,JAN,373,458,64,0,0,0,399
SUNFLOWER,SUNFLOWER,403,429,FEB,458,536,1652,165,0,0,23
SUNFLOWER,SUNFLOWER,403,429,MAR,536,615,63,683,1244,0,0
SUNFLOWER,SUNFLOWER,403,429,APR,615,693,0,60,1011,0,84
SUNFLOWER,SUNFLOWER,403,429,MAY,693,771,3,2,235,0,11
SUNFLOWER,SUNFLOWER,403,429,JUN,771,849,195,140,1170,0,113
SUNFLOWER,SUNFLOWER,403,429,JUL,849,926,0,1250,174,0,11
SUNFLOWER,SUNFLOWER,403,429,AUG,926,1004,0,0,228,0,51
SUNFLOWER,SUNFLOWER,403,429,SEP,1004,1082,0,0,152,0,41
SUNFLOWER,SUNFLOWER,403,429,OCT,1082,1160,0,0,2,0,110
SUNFLOWER,SUNFLOWER,403,429,NOV,1160,1237,0,0,0,0,113
SUNFLOWER,SUNFLOWER,403,429,DEC,1237,1322,0,9,0,0,284
SWEETPEA,SWEETPEA,427,452,JAN,373,458,536,0,0,0,240
SWEETPEA,SWEETPEA,427,452,FEB,458,536,1938,6,0,0,0
SWEETPEA,SWEETPEA,427,452,MAR,536,615,403,812,689,0,0
SWEETPEA,SWEETPEA,427,452,APR,615,693,0,0,1795,0,0
SWEETPEA,SWEETPEA,427,452,MAY,693,771,23,11,1785,0,0
SWEETPEA,SWEETPEA,427,452,JUN,771,849,1812,114,2,0,0
SWEETPEA,SWEETPEA,427,452,JUL,849,926,5,109,1768,0,0
SWEETPEA,SWEETPEA,427,452,AUG,926,1004,0,0,1878,0,0
SWEETPEA,SWEETPEA,427,452,SEP,1004,1082,0,0,251,1617,0
SWEETPEA,SWEETPEA,427,452,OCT,1082,1160,0,0,33,20,21
SWEETPEA,SWEETPEA,427,452,NOV,1160,1237,0,0,0,0,240
SWEETPEA,SWEETPEA,427,452,DEC,1237,1322,0,4,0,0,283
CALENDULA,CALENDULA,450,508,JAN,373,458,1344,0,0,0,381
CALENDULA,CALENDULA,450,508,FEB,458,536,3134,0,0,0,32
